#plate,mjd,fiberID
2240,53823,170
2240,53823,171
2240,53823,173
2240,53823,182
2240,53823,197
2240,53823,200
2240,53823,223
2240,53823,227
2240,53823,231
2241,54169,36
2241,54169,148
2241,54169,154
2241,54169,157
2241,54169,158
2241,54169,163
2242,54153,356
2242,54153,357
2240,53823,105
2240,53823,150
2609,54476,332
2609,54476,341
2609,54476,343
2609,54476,346
2609,54476,377
2609,54476,382
2609,54476,384
2004,53737,164
2004,53737,191
2011,53499,166
2011,53499,202
2011,53499,206
2011,53499,213
2011,53499,215
2011,53499,216
2011,53499,217
2221,53792,247
2226,53819,599
2240,53823,97
2502,54180,401
2502,54180,406
2506,54179,371
2506,54179,401
2506,54179,406
2506,54179,410
2506,54179,413
2506,54179,457
2506,54179,532
2506,54179,539
2509,54180,495
2509,54180,585
2509,54180,604
2509,54180,612
2509,54180,614
2515,54180,333
2515,54180,370
2515,54180,371
2515,54180,372
2609,54476,333
2609,54476,336
2609,54476,362
2609,54476,402
2217,53794,19
2221,53792,98
2221,53792,103
2228,53818,289
2241,54169,131
2509,54180,586
2609,54476,367
2609,54476,374
2225,53729,204
2225,53729,253
2241,54169,218
2235,53847,43
2235,53847,56
2235,53847,590
2235,53847,624
2236,53729,241
2236,53729,430
2236,53729,438
2236,53729,463
2236,53729,478
2236,53729,510
2238,54205,430
2238,54205,464
2238,54205,478
2238,54205,484
2238,54205,504
2238,54205,549
2238,54205,591
2238,54205,633
2240,53823,253
2240,53823,382
2240,53823,384
2240,53823,399
2240,53823,431
2240,53823,433
2240,53823,438
2240,53823,440
2240,53823,462
2240,53823,463
2240,53823,465
2240,53823,466
2240,53823,469
2240,53823,470
2240,53823,474
2240,53823,475
2240,53823,476
2240,53823,487
2240,53823,490
2240,53823,495
2240,53823,496
2240,53823,500
2240,53823,516
2240,53823,520
2240,53823,542
2240,53823,544
2240,53823,551
2240,53823,598
2240,53823,599
2240,53823,622
2240,53823,634
2240,53823,636
2241,54169,77
2241,54169,80
2241,54169,111
2241,54169,115
2241,54169,164
2241,54169,169
2241,54169,360
2241,54169,434
2241,54169,466
2241,54169,483
2241,54169,488
2241,54169,551
2241,54169,555
2241,54169,593
2242,54153,397
2242,54153,543
2242,54153,551
2513,54141,5
2609,54476,376
2643,54208,127
2104,53852,218
2104,53852,250
2104,53852,286
2236,53729,421
2241,54169,495
2241,54169,496
2235,53847,55
2235,53847,57
2236,53729,244
2236,53729,245
2236,53729,298
2504,54179,516
2504,54179,554
2504,54179,555
2504,54179,556
2504,54179,557
2504,54179,558
2504,54179,559
2507,53876,312
2507,53876,317
2507,53876,393
2511,53882,97
2513,54141,278
2513,54141,280
2658,54502,530
2658,54502,567
2507,53876,425
2511,53882,210
2009,53904,386
2009,53904,387
2011,53499,521
2011,53499,609
2228,53818,378
2009,53904,493
2609,54476,352
2609,54476,353
2609,54476,355
2609,54476,360
2609,54476,395
2609,54476,397
2609,54476,400
2228,53818,321
2228,53818,325
2228,53818,328
2228,53818,330
2228,53818,334
2228,53818,338
2228,53818,362
2228,53818,366
2228,53818,370
