#x,y,z,SM,Metal,u_minus_r,g_minus_r
79.952286,95.812218,47.146336,1387665408.000000,0.010537,1.588079,0.461714
5.600413,59.327847,23.035810,2934974464.000000,0.016850,1.476038,0.495153
60.210823,40.987038,21.987997,2879805184.000000,0.013781,1.333645,0.385906
61.081875,85.754433,50.617954,1735576064.000000,0.012984,1.316475,0.391945
1.903335,61.847042,53.476665,2333926400.000000,0.016924,1.138651,0.333326
41.259716,57.754921,12.621433,2725242368.000000,0.013638,1.434717,0.442966
34.012199,44.916553,31.145714,2062832000.000000,0.018012,1.952248,0.613516
80.489609,7.134317,68.775612,1675448576.000000,0.015595,2.180107,0.681841
60.617092,47.757538,80.422897,1550708992.000000,0.014123,1.118654,0.318447
40.801075,14.881197,7.099440,9131810816.000000,0.019926,0.958187,0.251129
91.347198,55.935547,36.753872,4438299136.000000,0.015795,1.111561,0.348619
49.019520,92.618248,28.462412,3639136768.000000,0.017029,1.883167,0.574654
76.359489,36.698044,28.015444,2159556608.000000,0.015391,1.207663,0.378292
34.717602,83.136200,23.242340,3950461184.000000,0.015653,1.451088,0.452446
36.405640,75.387711,46.460022,1340027264.000000,0.012802,1.387024,0.440756
49.618984,48.174671,3.537598,1243577856.000000,0.015460,1.616937,0.535532
66.104218,27.919706,22.423307,1037409856.000000,0.014340,1.540444,0.529665
37.662838,24.208258,4.069347,1012389504.000000,0.011633,1.025978,0.264620
97.850800,91.958313,50.799892,1686454016.000000,0.015121,1.428585,0.420391
60.031948,63.183033,83.715469,1307038208.000000,0.014903,1.689335,0.567839
70.296608,33.995716,54.891186,2819946496.000000,0.015931,0.956833,0.255354
44.468422,81.716690,58.572823,1136807680.000000,0.012162,1.534885,0.466173
70.112305,97.637947,50.789883,1727680896.000000,0.016697,1.774269,0.548986
85.956184,71.114204,45.478817,1081940992.000000,0.012505,1.466402,0.459879
80.696053,97.865143,48.506233,1032140544.000000,0.015826,2.082646,0.643415
36.003609,29.157515,81.103287,1220023424.000000,0.012883,1.292521,0.368776
64.202400,35.047550,54.078709,1051088704.000000,0.014592,1.356951,0.415871
28.896822,91.576759,38.780453,5891351040.000000,0.015738,1.184559,0.353384
94.154030,10.801964,40.590454,1072897920.000000,0.014250,2.198209,0.706673
58.522255,21.598820,1.783587,1590728704.000000,0.013719,1.117676,0.279871
57.101246,57.686325,86.487099,5347077120.000000,0.017106,1.352243,0.399220
9.682292,73.208672,81.652412,1058998656.000000,0.010246,1.142588,0.321070
23.872887,26.450891,60.590187,1774273536.000000,0.014445,1.168404,0.344679
58.355751,54.034718,56.206749,4166542592.000000,0.015691,0.801949,0.159191
21.546423,90.128365,48.397625,1256088320.000000,0.015624,1.434341,0.464865
72.483444,61.549194,87.843117,1266503680.000000,0.012337,1.200031,0.338257
83.622627,72.035980,45.048580,1333347200.000000,0.014919,1.930436,0.636065
48.181805,42.821022,78.831482,8237182976.000000,0.021568,1.995291,0.646231
58.356449,19.137886,26.714663,1026462592.000000,0.011292,0.987761,0.227373
61.741142,44.601337,21.965670,4525117952.000000,0.015765,1.429813,0.411213
25.270037,72.544678,78.684204,3027304192.000000,0.013669,1.110731,0.312023
47.204613,0.045627,2.140637,1506373888.000000,0.012332,1.283352,0.362286
56.552727,60.608559,0.191988,1730950528.000000,0.011360,2.186203,0.706516
33.140934,11.362719,34.417572,1736825216.000000,0.015957,2.154670,0.673145
0.045665,58.766201,99.873512,1144344704.000000,0.014081,1.495991,0.462645
22.206491,77.148636,66.069313,4550676992.000000,0.012388,1.227612,0.354124
51.216187,44.060661,89.891212,2151779072.000000,0.012213,1.268806,0.367180
