#x,y,z,d_per(Mpc),d_long(Mpc),length_fil(Mpc),SM,Metal,u_minus_r,g_minus_r
84.816353,33.153473,89.645111,0.000034,11.843684,6.067325,14799858688.000000,0.020237,1.484137,0.489248
91.270309,20.635994,83.484711,0.000004,30.621261,15.909628,6393972736.000000,0.015737,1.112829,0.315641
84.975876,33.901794,88.462547,0.688730,9.308517,12.151871,15487897600.000000,0.019814,1.414013,0.462423
88.261963,21.878029,80.392227,1.008169,26.175093,15.909628,15693286400.000000,0.019673,1.660021,0.554537
90.192596,21.091898,82.793655,0.000058,23.159179,15.909628,26969876480.000000,0.020888,1.394642,0.443850
90.647911,20.723534,84.428566,0.864751,22.719741,22.455807,33873326080.000000,0.021341,1.449463,0.467356
84.329071,30.388826,83.799812,0.027896,7.790764,7.135988,26255130624.000000,0.016525,1.306530,0.407463
83.990570,29.952358,87.282677,0.000025,0.000051,6.067325,60108718080.000000,0.018242,2.262470,0.740496
19.122408,40.793442,55.469810,0.000099,36.368952,8.141733,1503794048.000000,0.014033,1.017359,0.292122
18.031647,40.544556,56.385765,0.000091,37.627875,5.641557,1562275712.000000,0.014923,0.883163,0.248728
19.118931,40.877651,55.483803,0.030318,0.058217,8.141733,1739820032.000000,0.016392,1.199589,0.379475
28.888651,38.699898,55.750263,1.668228,105.317609,25.692231,1221853696.000000,0.012406,1.263874,0.365005
18.462936,35.925793,73.764069,0.168972,190.687455,9.851283,2676229888.000000,0.017349,1.480600,0.474718
17.916117,39.557487,55.033436,0.257783,75.670183,5.641557,1350451200.000000,0.010959,1.334612,0.360756
21.911293,37.785984,62.839157,0.192887,212.259141,35.997585,1075331840.000000,0.015847,1.634261,0.525467
23.853090,40.365681,55.434593,0.635329,71.160457,35.997585,1248780672.000000,0.012608,1.481649,0.484135
23.973370,40.839302,65.533081,1.076120,249.769317,25.692231,2476775680.000000,0.014161,1.206278,0.353998
16.986052,38.932034,54.496403,0.806501,76.617894,5.641557,2507090688.000000,0.015508,1.096798,0.305464
23.350897,39.159595,57.931309,0.193962,102.240295,35.997585,1826771328.000000,0.014740,1.271004,0.402521
18.509214,42.321972,54.850338,1.095091,1.361628,25.692231,2014844544.000000,0.014659,1.406473,0.441837
21.066467,34.614143,63.063885,3.073869,213.533982,35.997585,2646577664.000000,0.015995,1.909681,0.619049
22.061388,37.642117,60.190273,0.599426,136.878470,25.692231,1774712448.000000,0.014980,1.398829,0.436659
18.672453,32.682518,72.359261,0.427992,303.929709,25.373920,2195837440.000000,0.013707,1.049210,0.269447
18.878065,35.194767,72.729309,0.400282,303.959872,35.997585,1970226304.000000,0.012082,1.207975,0.346455
19.415155,35.638756,74.092865,0.427949,356.585473,25.373920,1561442304.000000,0.012467,2.015700,0.656324
18.617086,33.067909,71.838402,0.306962,303.874037,25.373920,2110198144.000000,0.013232,1.075031,0.304813
17.928068,32.234219,70.007118,1.488105,305.628160,25.373920,2938122496.000000,0.014743,1.204475,0.357046
16.881680,34.206314,74.191841,1.439327,305.728955,35.997585,4588418560.000000,0.015642,1.324831,0.407249
19.403063,34.963257,72.749748,0.192869,303.969942,35.997585,1453800704.000000,0.012923,1.052200,0.308929
19.125420,39.868805,59.868614,0.975368,172.152908,13.866283,1954037888.000000,0.010480,1.150633,0.293001
18.192286,40.334190,57.862236,1.237430,2.285042,8.141733,3713338624.000000,0.017836,1.763237,0.579590
22.603045,38.072620,61.848984,0.015746,172.531263,25.692231,5823907328.000000,0.018341,1.759150,0.574358
21.984503,38.872116,61.937702,0.389222,212.084719,18.314268,3031827712.000000,0.013849,1.275026,0.382046
20.265898,40.262680,56.175411,0.000154,36.512204,25.692231,6792377344.000000,0.021391,1.942299,0.646156
21.515282,35.481915,73.424820,1.361266,307.065610,35.997585,2612816640.000000,0.014634,1.623938,0.507229
24.043579,38.876507,58.012695,0.015768,101.987167,25.692231,5500310016.000000,0.015960,1.241360,0.383265
24.683109,39.259686,56.378147,0.015815,101.987158,25.692231,3643483392.000000,0.015264,0.922363,0.258741
18.014536,40.557961,56.362373,0.031562,37.623657,5.641557,3074139904.000000,0.011860,0.949026,0.242405
20.848919,41.096519,55.360485,0.693640,36.814761,25.692231,10042077184.000000,0.019559,1.647045,0.556870
15.708059,41.529957,54.920967,0.289822,3.537035,25.692231,7030125056.000000,0.015315,1.054630,0.278883
21.435839,38.852306,61.798073,0.150185,212.595919,18.314268,9640455168.000000,0.019274,1.481640,0.482548
26.774597,37.248837,56.618206,1.326096,103.849347,25.692231,5781754880.000000,0.017303,1.348902,0.419365
23.899923,37.909637,62.355553,0.194420,172.496656,18.314268,9399038976.000000,0.017186,1.229458,0.365870
