1470
 6.51707 20.2293 66.5653
 6.62241 20.1722 66.4974
448 286 6
 38.8445 56.7899 3.60492
 40.4015 55.197 3.7768
 40.7202 54.2546 2.97105
 38.949 53.7597 2.03328
 37.0358 53.4542 1.14267
 36.9111 53.507 1.10735
448 3 8
 38.8445 56.7899 3.60492
 38.7753 57.6258 4.27262
 38.3607 59.1055 6.63154
 37.014 62.5536 7.41824
 36.3758 65.0146 8.13604
 34.8428 65.7857 9.07367
 33.9881 66.1042 9.31624
 33.7738 66.0955 9.34835
449 369 6
 72.7968 47.772 93.4329
 74.6102 47.306 94.0367
 75.5211 47.3543 94.037
 77.5728 47.3343 93.7919
 78.807 47.2143 93.5999
 78.7854 47.195 93.5947
449 151 5
 72.7968 47.772 93.4329
 69.0331 48.2973 93.9165
 66.0724 48.2588 94.8404
 65.1228 48.0821 94.6958
 65.0685 48.0353 94.6561
450 413 4
 4.67281 41.6552 97.2463
 3.2588 42.2677 96.0318
 1.53689 42.6524 96.2749
 1.27572 42.5988 96.3463
450 187 2
 4.67281 41.6552 97.2463
 4.62608 41.481 98.6325
451 159 14
 52.4256 35.9806 54.7555
 50.3991 39.9035 52.0881
 50.8158 40.922 51.4573
 52.086 42.8217 51.7049
 53.2589 45.2667 49.8002
 53.3183 46.2806 47.3388
 54.6205 46.7714 47.2738
 56.2735 47.2579 46.5075
 56.7045 47.3369 45.1677
 56.7277 46.3704 43.758
 56.7376 45.3833 42.9057
 58.1424 45.2173 41.3017
 59.6322 44.9703 39.8849
 59.8293 44.9389 39.9624
451 348 7
 52.4256 35.9806 54.7555
 56.4559 33.6048 56.5231
 58.1755 34.4782 56.2185
 57.8631 34.0273 57.8711
 58.5101 34.2062 60.555
 59.4095 34.6991 61.9097
 59.419 34.6733 61.931
452 288 5
 15.6971 44.3286 20.2458
 15.3399 46.356 20.6485
 12.5925 52.0592 22.6519
 9.27798 53.7311 25.2325
 8.54021 51.2253 25.8214
452 308 6
 15.6971 44.3286 20.2458
 18.0418 41.3566 18.8739
 19.2635 38.6906 17.844
 16.5373 36.7164 15.7934
 14.7839 34.8859 13.2461
 14.82 34.8338 12.7007
453 400 7
 2.69503 76.1409 50.3892
 2.1439 75.7895 51.0495
 2.40233 76.8865 51.8408
 3.24267 77.4009 51.9268
 3.8952 76.7616 51.3033
 3.94614 76.669 51.0828
 3.9787 76.7151 51.086
453 400 5
 2.69503 76.1409 50.3892
 3.57299 76.5191 50.5163
 3.88059 76.5435 51.039
 3.94614 76.669 51.0828
 3.9787 76.7151 51.086
454 159 14
 40.3341 56.6193 46.9089
 42.5732 51.4705 47.4187
 46.5279 49.3394 46.8732
 48.3598 48.4463 46.6386
 51.0183 47.2655 46.8892
 53.2961 46.2924 47.2798
 54.6205 46.7714 47.2738
 56.2735 47.2579 46.5075
 56.7045 47.3369 45.1677
 56.7277 46.3704 43.758
 56.7376 45.3833 42.9057
 58.1424 45.2173 41.3017
 59.6322 44.9703 39.8849
 59.8293 44.9389 39.9624
454 155 9
 40.3341 56.6193 46.9089
 40.3071 60.8544 45.768
