# x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,Metal,g_minus_r,u_minus_r
5.985408020019531250e+01,7.315002441406250000e+01,1.373910546302795410e+00,1.341130670080000000e+11,1.636793856000000000e+09,-1.622303962707519531e+01,-1.636305046081542969e+01,1.224616449326276779e-02,3.565883636474609375e-01,1.257909774780273438e+00
8.246527862548828125e+01,9.910537719726562500e+01,6.956850433349609375e+01,1.342216355840000000e+11,1.266473676800000000e+10,-1.805171203613281250e+01,-1.818371009826660156e+01,1.850279793143272400e-02,3.697490692138671875e-01,1.238042831420898438e+00
6.738034057617187500e+01,4.790985107421875000e+01,6.075209045410156250e+01,1.342484725760000000e+11,2.637024870400000000e+10,-1.624455451965332031e+01,-1.662416839599609375e+01,2.325831167399883270e-02,4.734230041503906250e-01,1.461761474609375000e+00
9.704187011718750000e+01,8.098520660400390625e+01,5.539612579345703125e+01,1.342698127360000000e+11,1.013986304000000000e+09,-1.682429695129394531e+01,-1.689486885070800781e+01,9.244090877473354340e-03,1.991291046142578125e-01,9.071941375732421875e-01
6.729978942871093750e+01,9.546062469482421875e+00,9.584693145751953125e+01,1.343518474240000000e+11,2.630240000000000000e+09,-1.642871093750000000e+01,-1.653903579711914062e+01,1.547615788877010345e-02,4.555320739746093750e-01,1.467714309692382812e+00
4.492896556854248047e+00,2.321414375305175781e+01,7.621505737304687500e+01,1.345313341440000000e+11,1.088694528000000000e+09,-1.634989738464355469e+01,-1.640345191955566406e+01,1.159423310309648514e-02,3.513679504394531250e-01,1.193939208984375000e+00
8.206355285644531250e+01,1.495287704467773438e+01,6.380053710937500000e+01,1.345482670080000000e+11,1.963518080000000000e+09,-1.670998573303222656e+01,-1.682624626159667969e+01,1.150664500892162323e-02,2.860717773437500000e-01,1.103818893432617188e+00
7.443121337890625000e+01,5.305881977081298828e+00,7.661411285400390625e+01,1.347103948800000000e+11,2.107778252800000000e+10,-1.507705974578857422e+01,-1.572429656982421875e+01,2.420693822205066681e-02,5.519237518310546875e-01,1.677371978759765625e+00
8.145424652099609375e+01,5.614678192138671875e+01,4.881539535522460938e+01,1.347257712640000000e+11,1.940425113600000000e+10,-1.620507049560546875e+01,-1.636907196044921875e+01,2.673042193055152893e-02,5.539455413818359375e-01,1.594722747802734375e+00
9.700382995605468750e+01,9.571102905273437500e+01,8.202118682861328125e+01,1.350245416960000000e+11,1.096657408000000000e+09,-1.605055618286132812e+01,-1.606767845153808594e+01,1.279021520167589188e-02,3.573856353759765625e-01,1.140716552734375000e+00
9.976616668701171875e+01,8.515396881103515625e+01,4.264213562011718750e+01,1.350606028800000000e+11,1.287704064000000000e+09,-1.553672885894775391e+01,-1.559654426574707031e+01,1.271152682602405548e-02,4.420204162597656250e-01,1.388154983520507812e+00
4.101560592651367188e+00,7.357103729248046875e+01,4.759005355834960938e+01,1.351513292800000000e+11,3.266864128000000000e+09,-1.612075042724609375e+01,-1.619249343872070312e+01,1.647588051855564117e-02,4.244823455810546875e-01,1.327444076538085938e+00
2.456721115112304688e+01,6.618288421630859375e+01,9.815650939941406250e+00,1.351662551040000000e+11,1.799249920000000000e+10,-1.719197082519531250e+01,-1.740973663330078125e+01,2.196236699819564819e-02,4.483814239501953125e-01,1.374618530273437500e+00
2.368566131591796875e+01,6.100790023803710938e+01,4.948365020751953125e+01,1.351940177920000000e+11,1.033550400000000000e+09,-1.644017410278320312e+01,-1.645656204223632812e+01,1.254360750317573547e-02,3.086280822753906250e-01,1.118906021118164062e+00
7.847373962402343750e+01,9.404995727539062500e+01,7.336361694335937500e+01,1.351965491200000000e+11,1.177493760000000000e+09,-1.662171745300292969e+01,-1.665332031250000000e+01,1.308521255850791931e-02,3.045501708984375000e-01,1.117027282714843750e+00
6.068729019165039062e+01,3.301965713500976562e+01,2.035118865966796875e+01,1.353202401280000000e+11,6.535721472000000000e+09,-1.842411613464355469e+01,-1.849079513549804688e+01,1.630410179495811462e-02,2.129554748535156250e-01,8.909606933593750000e-01
3.854337692260742188e+01,6.706036376953125000e+01,1.945061492919921875e+01,1.353398599680000000e+11,7.546151424000000000e+09,-1.820118331909179688e+01,-1.823649597167968750e+01,1.826912909746170044e-02,3.944416046142578125e-01,1.326450347900390625e+00
5.011886215209960938e+01,4.379450607299804688e+01,7.926335144042968750e+01,1.353536307200000000e+11,1.555527936000000000e+09,-1.630594062805175781e+01,-1.633753013610839844e+01,1.204372569918632507e-02,3.709068298339843750e-01,1.212646484375000000e+00
3.715562057495117188e+01,7.481202697753906250e+01,2.955894088745117188e+01,1.354485350400000000e+11,1.108824166400000000e+10,-1.773274803161621094e+01,-1.775351333618164062e+01,2.062776871025562286e-02,3.636741638183593750e-01,1.193546295166015625e+00
3.862719774246215820e+00,2.399878692626953125e+01,7.883078002929687500e+01,1.354813194240000000e+11,3.304532480000000000e+09,-1.660605049133300781e+01,-1.666670989990234375e+01,1.592415198683738708e-02,3.653888702392578125e-01,1.160823822021484375e+00
3.984184646606445312e+01,7.038742828369140625e+01,4.072061920166015625e+01,1.355296604160000000e+11,1.973763712000000000e+09,-1.639126014709472656e+01,-1.645065116882324219e+01,1.436658576130867004e-02,4.423122406005859375e-01,1.452314376831054688e+00
8.163127899169921875e+01,7.044679260253906250e+01,1.784107971191406250e+01,1.355370332160000000e+11,1.126826752000000000e+09,-1.515336704254150391e+01,-1.530041694641113281e+01,1.316659431904554367e-02,4.351425170898437500e-01,1.388507843017578125e+00
4.925789260864257812e+01,1.531269073486328125e+01,1.089431190490722656e+01,1.355656724480000000e+11,4.184893030400000000e+10,-1.740284919738769531e+01,-1.752763748168945312e+01,2.466489560902118683e-02,6.961307525634765625e-01,2.070749282836914062e+00
8.349655151367187500e+01,4.188646316528320312e+00,6.059659957885742188e+01,1.355882004480000000e+11,2.114793984000000000e+09,-1.624386405944824219e+01,-1.632237434387207031e+01,1.070550922304391861e-02,3.912410736083984375e-01,1.317310333251953125e+00
7.290820312500000000e+01,2.849084281921386719e+01,2.695520401000976562e+01,1.356477890560000000e+11,1.072783360000000000e+10,-1.483748245239257812e+01,-1.556982517242431641e+01,2.010519243776798248e-02,5.282897949218750000e-01,1.615142822265625000e+00
7.710324859619140625e+01,8.725452423095703125e+01,4.572720718383789062e+01,1.358207139840000000e+11,1.751177625600000000e+10,-1.814021110534667969e+01,-1.826344680786132812e+01,1.985890790820121765e-02,3.440513610839843750e-01,1.191701889038085938e+00
8.249263763427734375e+01,4.886884307861328125e+01,6.013819122314453125e+01,1.358464532480000000e+11,1.536328192000000000e+09,-1.576416587829589844e+01,-1.585685539245605469e+01,1.329067163169384003e-02,4.231185913085937500e-01,1.378543853759765625e+00
8.134613037109375000e+01,8.522589111328125000e+01,4.129273986816406250e+01,1.358575943680000000e+11,8.655384576000000000e+09,-1.608922386169433594e+01,-1.627285194396972656e+01,2.192814275622367859e-02,5.027484893798828125e-01,1.551630020141601562e+00
9.680648040771484375e+01,5.966028213500976562e+01,2.108396148681640625e+01,1.359098593280000000e+11,2.952625356800000000e+10,-1.681757164001464844e+01,-1.719756317138671875e+01,2.034324221312999725e-02,6.292839050292968750e-01,1.974327087402343750e+00
5.345015716552734375e+01,6.596362304687500000e+01,4.444018554687500000e+01,1.359128002560000000e+11,6.402505728000000000e+09,-1.617284774780273438e+01,-1.641509819030761719e+01,1.765397563576698303e-02,3.618259429931640625e-01,1.172140121459960938e+00
3.434075164794921875e+01,6.606313323974609375e+01,9.585696220397949219e+00,1.359263252480000000e+11,1.026309222400000000e+10,-1.602367973327636719e+01,-1.622339439392089844e+01,2.021129243075847626e-02,5.906620025634765625e-01,1.787445068359375000e+00
5.042621231079101562e+01,9.086780548095703125e+01,2.589723396301269531e+01,1.359547514880000000e+11,1.082606208000000000e+09,-1.571874332427978516e+01,-1.583788013458251953e+01,9.155280888080596924e-03,3.887996673583984375e-01,1.307283401489257812e+00
