#x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
35.374790,86.253464,44.165630,32412121088.000000,6406594560.000000,-15.739127,-16.047283,-19.497484,0.465933,1.470036
81.276497,10.790638,43.883942,32573890560.000000,1190363776.000000,-16.460155,-16.518066,-18.391039,0.317593,1.121988
28.561737,80.547073,48.563168,32727848960.000000,1033826048.000000,-16.570141,-16.614132,-18.521984,0.286224,1.137041
80.490944,9.101323,93.515236,32863105024.000000,4806110208.000000,-16.513807,-16.630852,-19.317009,0.423178,1.354586
74.467133,29.818624,35.039467,33376751616.000000,9899871232.000000,-14.855540,-15.195562,-19.456507,0.585880,1.682364
29.123190,7.583476,19.729849,33552293888.000000,1042530432.000000,-16.782703,-16.799404,-18.408596,0.313616,1.123556
32.366432,62.022644,61.945026,33648801792.000000,3052839936.000000,-16.483629,-16.631338,-19.102657,0.406443,1.373877
56.315861,77.375755,30.358700,33885175808.000000,8509487616.000000,-17.973846,-17.999104,-20.154152,0.278742,0.910910
20.528400,16.028236,79.653542,34146244608.000000,1042442752.000000,-16.656929,-16.733034,-18.426628,0.263563,1.045391
84.988930,60.254940,50.296391,34180968448.000000,1236018432.000000,-18.175676,-18.167248,-19.440798,0.153605,0.844851
96.806396,12.612906,93.801071,34835300352.000000,1741072512.000000,-16.002270,-16.146820,-18.519419,0.405529,1.334326
65.601601,36.692570,43.016983,34836676608.000000,6197218304.000000,-15.861630,-16.048998,-19.375952,0.464958,1.436039
32.842197,80.425461,25.492477,34850930688.000000,1157550848.000000,-16.721720,-16.724871,-18.247431,0.311157,1.083395
52.430218,92.824570,25.079067,34950885376.000000,1470165248.000000,-16.488913,-16.556969,-18.433174,0.347101,1.254293
86.474876,96.379265,64.072525,35578712064.000000,1186254080.000000,-17.630785,-17.658209,-19.039598,0.200724,0.952795
34.025398,61.711235,66.916740,36970999808.000000,2106197504.000000,-15.966346,-15.995808,-18.240986,0.413622,1.274744
88.424347,8.757374,36.332314,37032923136.000000,3177092096.000000,-16.337297,-16.409458,-18.862007,0.447786,1.378941
26.288847,86.188995,66.091499,37063770112.000000,2641327872.000000,-17.148609,-17.264732,-19.344185,0.284998,1.118452
54.626747,26.101620,13.276652,37214474240.000000,6964528640.000000,-16.273308,-16.400749,-19.403376,0.457075,1.419361
