#x,y,z,d_per(Mpc),d_long(Mpc),length_fil(Mpc),Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
26.064384,38.645100,3.107636,0.000016,0.000000,32.078420,259071033344.000000,8202822144.000000,-16.472975,-16.628260,-19.705032,0.430969,1.357431
15.550575,39.762093,6.789834,0.971176,115.994472,32.078420,308722204672.000000,2023544960.000000,-16.441160,-16.504957,-18.540806,0.404415,1.338217
25.627979,38.080685,2.719338,0.839613,0.462094,32.078420,455029424128.000000,9411745792.000000,-16.447168,-16.686764,-19.900843,0.343323,1.196758
19.708462,38.108864,2.932690,0.064787,96.246865,6.913683,467806060544.000000,2016678784.000000,-17.501860,-17.468565,-18.927258,0.213131,0.892935
15.964135,35.269100,11.401393,0.844705,132.673678,32.078420,518992592896.000000,8298455552.000000,-15.987629,-16.240646,-19.608252,0.359848,1.157547
20.313400,37.729897,4.267028,0.813212,80.147393,47.930489,750755250176.000000,13746611200.000000,-18.010618,-18.114731,-20.369034,0.399004,1.269571
25.730856,38.648876,3.076639,0.205750,0.376540,47.930489,2231763730432.000000,34157512704.000000,-16.453812,-16.664780,-20.622971,0.717295,2.170025
16.495707,38.168488,6.677438,0.040614,106.634850,13.670771,2951027884032.000000,28770027520.000000,-18.485300,-18.523407,-20.665010,0.451426,1.387421
11.571608,49.714546,36.243465,0.000028,0.000070,39.367877,30842800128.000000,2298579456.000000,-16.959686,-16.945131,-18.683607,0.336075,1.092710
11.499859,57.494793,34.349041,0.074273,71.359219,23.318839,84688920576.000000,4205939712.000000,-17.489157,-17.544220,-19.465046,0.312899,1.151617
11.427795,57.800964,34.498928,0.079525,71.355085,23.938717,88314257408.000000,3962241792.000000,-16.380590,-16.468838,-18.989550,0.464075,1.429060
8.540758,51.398369,25.315008,0.691133,188.913893,39.367877,206394867712.000000,2483823872.000000,-17.050491,-17.107994,-18.947004,0.318127,1.140636
15.350112,45.004898,20.670610,0.339709,226.832345,39.367877,338443632640.000000,7539210752.000000,-17.348713,-17.414127,-19.627377,0.490059,1.494572
11.547945,49.737629,36.248272,0.034917,0.010049,23.318839,590387085312.000000,5242430464.000000,-17.738371,-17.751900,-19.585245,0.269104,0.986603
15.733194,44.004242,19.910572,0.121618,226.881538,39.367877,764217196544.000000,18576635904.000000,-18.163656,-18.205864,-20.428165,0.428780,1.338480
8.860632,50.409962,25.938871,0.281416,188.790242,39.367877,898219900928.000000,18687793152.000000,-18.055969,-18.135603,-20.471849,0.495348,1.530956
11.441718,57.637245,34.445732,0.031943,71.210259,23.938717,2362749222912.000000,32277344256.000000,-17.576963,-17.722553,-20.856472,0.446741,1.364729
68.694038,4.047705,97.084778,0.188697,60.534697,10.339243,118928195584.000000,2563406848.000000,-15.992911,-16.079391,-18.487135,0.465509,1.462614
68.798065,3.992883,96.829803,0.119552,60.512442,10.339243,175069003776.000000,4038110976.000000,-16.620878,-16.667822,-19.078890,0.409079,1.311592
67.805237,2.871741,97.337471,1.045054,30.367757,10.339243,341482569728.000000,4536375296.000000,-15.399703,-15.587334,-18.934523,0.471836,1.456436
71.955276,8.194521,90.649124,0.666902,160.067282,10.339243,979803373568.000000,21640024064.000000,-15.395699,-15.973803,-20.445648,0.618114,1.910803
1.495604,76.904755,43.869007,0.137807,347.121635,10.752170,230302941184.000000,2900488704.000000,-17.126959,-17.124546,-18.962986,0.355877,1.161617
2.766198,75.821121,43.854263,1.202667,305.101299,10.752170,273935646720.000000,8475432960.000000,-17.133770,-17.263807,-19.814310,0.411032,1.303093
2.631577,76.799980,43.353989,0.836293,303.935926,10.752170,345681264640.000000,5190690304.000000,-16.554211,-16.703447,-19.468906,0.428017,1.434011
0.758614,77.386360,43.471378,0.000046,389.590758,10.752170,724120633344.000000,8899953664.000000,-17.906698,-18.010254,-19.988787,0.330761,1.223520
4.324801,73.429710,30.549877,0.000029,128.665801,12.860696,239077031936.000000,1756617088.000000,-17.588526,-17.605671,-19.045509,0.224865,0.930857
7.864043,71.216370,29.363949,0.273555,53.231808,17.842904,239818571776.000000,3981216768.000000,-16.713657,-16.745558,-18.892002,0.422186,1.305521
8.782196,71.299675,28.691229,0.351314,53.173981,12.860696,275254444032.000000,3139368960.000000,-16.575918,-16.687912,-19.153913,0.380701,1.270761
4.017917,73.533417,31.234268,0.358041,102.209716,17.842904,480830685184.000000,4398428160.000000,-17.609797,-17.628265,-19.302942,0.328634,1.089840
8.123405,71.125404,29.184139,0.226368,52.928102,12.860696,1413293015040.000000,18451001344.000000,-16.760937,-16.868065,-20.135492,0.689550,2.078800
36.580307,53.359688,73.526947,0.004819,36.990029,6.597486,70773923840.000000,7024897536.000000,-16.916559,-17.016033,-19.475882,0.460728,1.432810
36.406364,54.530037,72.976471,0.872891,0.000000,6.597486,181622636544.000000,2705837824.000000,-16.348577,-16.459362,-18.810818,0.368029,1.220842
36.633324,53.784298,73.369301,0.000024,0.000000,6.597486,721080025088.000000,18815911936.000000,-18.043423,-18.138691,-20.638815,0.440928,1.402870
36.532230,53.459431,73.539513,0.029278,36.912521,8.324272,2285409665024.000000,48011309056.000000,-17.204033,-17.376314,-20.794525,0.476143,1.453018
32.508488,37.672249,67.189148,0.444709,34.112050,18.735536,5702895104.000000,1758705664.000000,-16.442398,-16.476580,-18.447937,0.082958,0.442799
32.087543,37.613701,66.407845,0.000035,0.000090,18.735536,34816626688.000000,3892927744.000000,-16.017443,-16.159754,-18.944595,0.471056,1.455118
32.506588,37.666451,67.184059,0.438993,34.112050,18.735536,2288028745728.000000,38638415872.000000,-17.740168,-17.989100,-21.130342,0.578011,1.859653
32.007000,37.585949,66.381256,0.037452,34.421714,9.228932,2332027518976.000000,60263268352.000000,-18.427784,-18.569355,-21.442060,0.429922,1.332209
37.700634,74.993996,30.171144,0.068770,7.591857,9.469409,52306419712.000000,10616763392.000000,-17.189392,-17.292944,-19.971708,0.364378,1.157297
37.430981,75.097229,30.082006,0.208933,0.000000,9.469409,136826830848.000000,11832122368.000000,-17.964312,-18.000036,-20.105469,0.389208,1.256371
37.981194,75.458786,30.241621,0.541723,0.014592,9.469409,203409670144.000000,4253073664.000000,-17.224594,-17.282375,-19.487301,0.305079,1.109041
37.499584,75.044029,30.104685,0.134803,0.000000,9.469409,218327220224.000000,13233516544.000000,-16.859804,-17.020536,-19.987253,0.518213,1.578417
37.300949,74.911507,30.082651,0.362342,0.000000,9.469409,265068199936.000000,11888783360.000000,-17.660017,-17.722284,-20.093155,0.390802,1.260611
37.622299,75.061127,30.157770,0.000040,0.000000,9.469409,4071036289024.000000,30722377728.000000,-18.834755,-18.931318,-21.309298,0.326284,1.128813
89.850357,60.104057,11.153713,0.000046,0.000042,6.591457,120990310400.000000,11186173952.000000,-18.025484,-18.103142,-20.347555,0.405497,1.299015
87.289810,67.122017,9.576096,0.034134,474.157478,22.201899,124494512128.000000,3267589632.000000,-15.976887,-16.076870,-18.838171,0.421762,1.297346
84.213081,69.811737,9.558170,0.754114,625.287293,22.201899,219649736704.000000,3569728256.000000,-15.410512,-15.561838,-18.570272,0.582630,1.742559
90.430847,61.204174,11.075970,0.363208,79.710050,22.201899,368365633536.000000,3080930816.000000,-17.503143,-17.519279,-19.192127,0.334829,1.154757
90.078262,60.200054,10.469858,0.689925,0.191573,22.201899,599485579264.000000,9585100800.000000,-16.059111,-16.282972,-19.576456,0.456240,1.423534
89.844994,60.169380,11.167637,0.039302,0.055321,22.201899,953377685504.000000,12266539008.000000,-16.589323,-16.701071,-19.840382,0.534088,1.625240
87.397209,66.998787,9.576010,0.055885,474.163560,22.201899,1047198498816.000000,7936191488.000000,-16.821217,-16.905714,-19.597853,0.383186,1.279730
66.066032,67.470322,13.993519,0.955837,52.099805,21.432445,382930714624.000000,5295742976.000000,-17.635778,-17.694849,-19.654129,0.371868,1.256935
75.474129,60.435791,11.770797,0.114752,354.452559,21.432445,395709808640.000000,4356711936.000000,-16.306824,-16.386208,-18.879330,0.510557,1.527494
76.261086,60.414192,11.845932,0.337255,354.278015,21.432445,429133922304.000000,7420391936.000000,-17.504303,-17.571051,-19.721071,0.438522,1.380682
82.523804,15.520803,52.183212,0.677171,189.529979,14.537023,11305991168.000000,1000211776.000000,-16.049791,-16.080435,-17.885416,0.333765,1.032824
