# x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
7.652662658691406250e+01,6.241457748413085938e+01,7.080693817138671875e+01,3.791192473600000000e+10,3.188868352000000000e+09,-1.712470436096191406e+01,-1.726024627685546875e+01,-1.956268119812011719e+01,2.067184448242187500e-01,9.771995544433593750e-01
2.434341669082641602e+00,9.162616729736328125e+01,4.300992965698242188e+01,3.797536358400000000e+10,1.120185984000000000e+09,-1.622804641723632812e+01,-1.639822387695312500e+01,-1.847750282287597656e+01,2.914600372314453125e-01,1.191501617431640625e+00
1.629214286804199219e+01,7.935959625244140625e+01,4.843024063110351562e+01,3.889337139200000000e+10,2.045256908800000000e+10,-1.601379394531250000e+01,-1.639605331420898438e+01,-2.033647918701171875e+01,5.253124237060546875e-01,1.575029373168945312e+00
7.610952758789062500e+01,9.071240997314453125e+01,4.059946823120117188e+01,4.096874086400000000e+10,1.405032704000000000e+09,-1.576064395904541016e+01,-1.595026016235351562e+01,-1.842890548706054688e+01,3.883781433105468750e-01,1.376598358154296875e+00
8.649948120117187500e+01,9.320233154296875000e+01,5.911036300659179688e+01,4.348707635200000000e+10,2.946391808000000000e+09,-1.666921043395996094e+01,-1.676882553100585938e+01,-1.898335838317871094e+01,3.065357208251953125e-01,1.030677795410156250e+00
1.069854450225830078e+01,8.102037811279296875e+01,5.474868011474609375e+01,4.399182643200000000e+10,1.815444480000000000e+10,-1.732573318481445312e+01,-1.742755317687988281e+01,-2.016065025329589844e+01,2.750053405761718750e-01,9.319934844970703125e-01
9.939938354492187500e+01,7.358246612548828125e+01,4.844437026977539062e+01,4.498439782400000000e+10,1.030783692800000000e+10,-1.487662982940673828e+01,-1.522738933563232422e+01,-1.951913070678710938e+01,6.013355255126953125e-01,1.751352310180664062e+00
3.302168655395507812e+01,6.635302734375000000e+01,9.508349418640136719e+00,4.732816998400000000e+10,1.730132352000000000e+09,-1.699469566345214844e+01,-1.703188133239746094e+01,-1.868905830383300781e+01,2.795886993408203125e-01,1.046949386596679688e+00
8.942187500000000000e+01,5.775920867919921875e+01,1.151484584808349609e+01,4.744866201600000000e+10,2.781634816000000000e+09,-1.671099853515625000e+01,-1.673433494567871094e+01,-1.875525474548339844e+01,3.362865447998046875e-01,1.099264144897460938e+00
6.621990966796875000e+01,3.149000549316406250e+01,2.379443740844726562e+01,4.900858675200000000e+10,1.506656896000000000e+09,-1.585901069641113281e+01,-1.600284194946289062e+01,-1.846300888061523438e+01,3.691616058349609375e-01,1.295482635498046875e+00
8.751699066162109375e+01,2.438131332397460938e+01,4.819882583618164062e+01,4.944823091200000000e+10,1.107283968000000000e+09,-1.536543846130371094e+01,-1.552351379394531250e+01,-1.786824607849121094e+01,4.053859710693359375e-01,1.411556243896484375e+00
5.220873260498046875e+01,4.787028789520263672e+00,1.907250022888183594e+01,5.250639052800000000e+10,8.490703360000000000e+09,-1.582566642761230469e+01,-1.611076164245605469e+01,-1.972097206115722656e+01,4.613647460937500000e-01,1.446067810058593750e+00
