#field_value,log_field_value,mass,RA,DEC,Z
4.7323,1.5544,1,189.21,29.555,0
3.8929,1.3592,1,197.81,13.942,0
3.9928,1.3845,1,197.49,13.975,0
3.472,1.2447,1,166.12,27.732,0
2.2818,0.82496,1,170.1,28.298,0
5.3633,1.6796,1,169.57,28.226,0
6.9914,1.9447,1,168.95,28.168,0
46.931,3.8487,1,169.49,28.156,0
4.5882,1.5235,1,172.94,28.462,0
11.891,2.4757,1,193.24,28.812,0
18.908,2.9396,1,193.47,26.684,0
44.91,3.8047,1,180.85,19.774,0
2.6434,0.97207,1,169.68,21.456,0
38.812,3.6587,1,169.69,21.474,0
3.4419,1.236,1,171.59,21.698,0
17.768,2.8774,1,171.95,21.629,0
25.42,3.2355,1,180.65,23.783,0
13.316,2.589,1,172.07,21.592,0
17.05,2.8362,1,180.93,23.706,0
14.641,2.6838,1,174.54,23.396,0
18.955,2.9421,1,174.72,23.447,0
7.3827,1.9991,1,174.6,23.517,0
2.2161,0.79574,1,174.28,23.529,0
14.394,2.6668,1,183.99,23.868,0
4.9214,1.5936,1,175.8,22.006,0
77.578,4.3513,1,178.21,23.595,0
4.3832,1.4778,1,180.13,19.8,0
15.118,2.7159,1,180.75,19.9,0
40.398,3.6988,1,181.05,19.901,0
2.4333,0.88923,1,204.61,19.276,0
7.0896,1.9586,1,183.61,23.763,0
5.0963,1.6285,1,184.36,23.904,0
10.457,2.3473,1,180.18,24.856,0
13.114,2.5737,1,180.09,24.759,0
28.578,3.3526,1,180.09,24.916,0
33.26,3.5044,1,182.03,18.009,0
14.502,2.6743,1,181.28,23.764,0
3.565,1.2712,1,180.81,24.796,0
1.6304,0.4888,1,192.91,16.504,0
100.67,4.6119,1,192.1,26.858,0
18.183,2.9005,1,192.34,26.744,0
35.411,3.567,1,192.17,26.87,0
9.0678,2.2047,1,173.54,28.595,0
7.9277,2.0704,1,192.42,28.845,0
6.6666,1.8971,1,192.15,28.847,0
11.556,2.4472,1,173.48,28.623,0
7.4647,2.0102,1,191.54,28.959,0
43.92,3.7824,1,194.01,26.757,0
42.782,3.7561,1,193.91,26.642,0
43.932,3.7826,1,193.84,26.8,0
49.173,3.8953,1,193.65,26.751,0
3.4111,1.227,1,180.24,28.955,0
29.269,3.3765,1,193.25,26.72,0
25.315,3.2314,1,192.98,26.783,0
19.422,2.9664,1,181.23,19.844,0
30.35,3.4128,1,194.46,28.624,0
117.46,4.7661,1,182.26,24.955,0
118.75,4.777,1,183.71,23.907,0
42.477,3.749,1,182.19,24.946,0
142,4.9559,1,182,24.859,0
1.4979,0.40404,1,198.43,19.847,0
9.4178,2.2426,1,198.72,19.886,0
104.14,4.6457,1,182.05,24.943,0
5.6152,1.7255,1,200.5,19.733,0
31.454,3.4485,1,194.79,28.728,0
39.349,3.6725,1,194.54,28.709,0
48.246,3.8763,1,194.58,28.699,0
18.588,2.9225,1,194.24,28.623,0
13.121,2.5742,1,193.93,28.755,0
8.2642,2.1119,1,184.49,29.086,0
31.943,3.464,1,193.15,26.75,0
19.509,2.9709,1,188.38,28.936,0
4.3865,1.4785,1,188.21,28.959,0
122.21,4.8057,1,167.18,36.176,0
900.28,6.8027,1,167.11,36.177,0
405.54,6.0052,1,167.17,36.161,0
11.821,2.4698,1,200.71,19.673,0
76.979,4.3435,1,200.71,19.691,0
8.1429,2.0971,1,200.62,19.527,0
3.1409,1.1445,1,201.66,19.556,0
3.7782,1.3292,1,165.63,17.963,0
8.9797,2.195,1,166.92,21.193,0
8.8929,2.1853,1,165.43,35.945,0
4.9848,1.6064,1,167,17.3,0
4.2138,1.4384,1,167.31,17.187,0
1.5545,0.44115,1,168.95,17.416,0
2.7053,0.99521,1,203.93,19.355,0
22.723,3.1234,1,182.03,24.79,0
6.2644,1.8349,1,167.78,21.206,0
29.693,3.3909,1,167.58,21.324,0
20.457,3.0183,1,167.13,21.17,0
15.917,2.7674,1,169.68,21.564,0
51.731,3.9461,1,169.74,23.09,0
47.914,3.8694,1,168.77,17.403,0
5.468,1.6989,1,170.47,21.634,0
6.4911,1.8704,1,171.88,23.359,0
2.2954,0.83092,1,170.63,23.106,0
1.9816,0.68391,1,171.57,17.541,0
3.6859,1.3045,1,173.43,23.413,0
8.1227,2.0947,1,172.6,23.367,0
8.1638,2.0997,1,173.4,17.782,0
14.14,2.649,1,173.42,17.591,0
3.8877,1.3578,1,174.17,17.643,0
35.405,3.5668,1,174.47,21.799,0
352.34,5.8646,1,174.53,21.845,0
45.203,3.8112,1,174.59,21.839,0
18.277,2.9056,1,190.49,26.969,0
6.4355,1.8618,1,173.42,21.865,0
3.2422,1.1763,1,172.61,21.66,0
3.5327,1.2621,1,174.95,23.532,0
41.032,3.7143,1,190.16,26.968,0
25.066,3.2215,1,190.16,26.894,0
17.96,2.8881,1,192.61,26.709,0
342.98,5.8377,1,192.58,26.75,0
27.983,3.3316,1,181.59,23.853,0
460.71,6.1328,1,183.77,23.933,0
10.02,2.3045,1,174.72,21.772,0
16.797,2.8212,1,176.78,19.702,0
196.15,5.2789,1,176.53,19.634,0
174.73,5.1632,1,176.62,19.774,0
642.79,6.4658,1,176.49,19.65,0
291.74,5.6759,1,176.47,19.612,0
4.789,1.5663,1,178.47,22.036,0
10.694,2.3697,1,177.99,22.058,0
45.658,3.8212,1,177.92,22.063,0
276.72,5.623,1,177.74,22.077,0
165.52,5.1091,1,177.76,21.977,0
11.306,2.4253,1,189.77,26.914,0
29.007,3.3675,1,181.87,24.951,0
15.45,2.7376,1,176.82,23.687,0
14.122,2.6477,1,176.89,23.622,0
2.4886,0.91174,1,177.64,17.858,0
19.382,2.9644,1,189.17,26.83,0
2.511,0.92069,1,178.94,17.888,0
119.74,4.7853,1,177.84,22.054,0
230.76,5.4414,1,177.9,22.059,0
92.403,4.5262,1,177.73,21.973,0
41.722,3.731,1,177.7,22.002,0
108.35,4.6854,1,189.02,26.9,0
381.84,5.945,1,188.94,26.909,0
366.15,5.903,1,188.99,26.966,0
479.68,6.1731,1,177.81,22.039,0
19.63,2.9771,1,177.44,21.954,0
92.03,4.5221,1,177.8,21.974,0
15.245,2.7242,1,180.7,23.748,0
42.548,3.7506,1,188.61,26.885,0
40.288,3.6961,1,180.61,23.819,0
146.95,4.9901,1,183.86,23.948,0
13.31,2.5885,1,182.32,24.968,0
19.104,2.9499,1,192.61,26.735,0
