#plate,mjd,fiberID,RA,Dec,z,zErr
2233,53845,537,186.39675,28.448568,0.03045204,8.030635E-06
2235,53847,374,187.46784,28.525863,0.02178813,7.976123E-06
2238,54205,525,191.99368,28.173931,0.02039167,1.050159E-05
2238,54205,566,192.10357,28.30689,0.02278863,8.958536E-06
2238,54205,606,192.85714,28.120805,0.02428199,9.866549E-06
2240,53823,365,193.47473,28.186591,0.02563674,1.065518E-05
2240,53823,371,193.54162,28.092511,0.0210446,6.906158E-06
2240,53823,373,193.28133,28.241254,0.02343924,5.5256E-06
2240,53823,377,193.32748,28.211406,0.02051797,2.111169E-05
2240,53823,403,193.81555,28.251936,0.02108984,6.677082E-05
2240,53823,407,193.73652,28.126262,0.02102754,1.577897E-05
2240,53823,409,193.94928,28.256104,0.02700933,1.257379E-05
2240,53823,442,194.19113,28.051623,0.02308207,1.340866E-05
2240,53823,445,194.40497,28.040384,0.02144919,3.978072E-05
2240,53823,446,194.16188,28.081154,0.02704673,1.619414E-05
2240,53823,448,194.21822,28.188111,0.0216317,9.978656E-05
2240,53823,450,194.4593,28.170356,0.02307632,6.197026E-06
2240,53823,453,194.16002,28.106277,0.02160236,3.060273E-05
1773,53112,89,199.65594,13.122328,0.02528155,3.639329E-06
2015,53819,86,187.24163,32.673665,0.03060809,6.877454E-06
1994,53845,628,194.88873,32.291236,0.03135582,6.601437E-06
2507,53876,463,174.87138,22.37323,0.03010929,1.68115E-05
2008,53473,561,176.35777,32.252419,0.02149848,1.395045E-05
2029,53819,488,196.37738,32.067149,0.02979538,2.881083E-05
2489,53857,307,165.64401,23.891803,0.02111894,6.290581E-06
1991,53446,360,176.94067,32.317863,0.03262206,7.248723E-06
2596,54207,427,182.77116,17.941411,0.02333496,1.203836E-05
2004,53737,516,183.29935,32.636281,0.02477442,7.093286E-06
2008,53473,593,176.30616,32.312194,0.03250008,7.831566E-06
2013,53818,623,187.1288,32.547756,0.0301791,1.03769E-05
2029,53819,375,195.75713,32.210721,0.02373435,8.358827E-06
2095,53474,624,182.19729,32.537513,0.02438855,7.562464E-06
2104,53852,371,198.8995,31.843822,0.02464403,5.896426E-06
2104,53852,412,198.94632,31.846423,0.01697578,1.422227E-05
2104,53852,472,199.22091,31.71106,0.01702243,7.015089E-06
2486,53876,484,165.16083,23.835389,0.02120034,2.006747E-05
2486,53876,527,165.4677,23.902596,0.02093844,9.80685E-06
2490,54179,112,167.87447,18.991734,0.02088318,6.142725E-06
2490,54179,155,167.36641,18.947458,0.02088271,5.778747E-06
2490,54179,179,166.9601,18.990709,0.0177402,1.915609E-05
2492,54178,360,167.2143,21.598168,0.03296026,1.219825E-05
2492,54178,382,167.39381,21.64056,0.03034518,1.493097E-05
2492,54178,389,167.39902,21.683682,0.0325186,2.53447E-05
2492,54178,394,167.39476,21.665388,0.03168652,1.268517E-05
1991,53446,547,178.7957,32.364214,0.03128765,6.953397E-06
2492,54178,423,167.41338,21.717676,0.03186343,1.257594E-05
2492,54178,428,167.5127,21.684157,0.03124553,5.95349E-06
2492,54178,431,167.42164,21.740377,0.0322203,9.218285E-06
2492,54178,440,167.43519,21.758951,0.0318289,9.078627E-06
2492,54178,549,168.73793,21.855748,0.02046475,1.277374E-05
2500,54178,476,172.05136,21.99666,0.02105232,1.24536E-05
2004,53737,515,183.28884,32.596367,0.02487803,7.477956E-06
2504,54179,341,172.43833,22.126549,0.02170308,1.208082E-05
1994,53845,436,193.66675,32.367103,0.02416622,1.041435E-05
1994,53845,440,193.57493,32.368986,0.02246221,1.181225E-05
1994,53845,466,193.46877,32.24168,0.02330359,8.406106E-06
1994,53845,471,193.26529,32.326786,0.02184059,8.59659E-06
1994,53845,481,193.89378,32.20597,0.02283247,9.913701E-06
2504,54179,352,172.4244,22.115395,0.02162064,6.955534E-06
2004,53737,342,181.57449,32.65748,0.02705731,1.030331E-05
2004,53737,381,182.08157,32.592136,0.02974725,6.06507E-06
2511,53882,364,176.02921,22.433709,0.03102117,5.751207E-06
2004,53737,385,181.82049,32.668924,0.03095758,7.799105E-06
2511,53882,377,176.09988,22.424117,0.03099009,6.79348E-06
