Dec,RA
10.424282471352344,-79.59178753614957
-15.301168600806234,-79.0898421013802
-10.067905670758385,-14.512568601570738
13.64100230315519,10.070871519724557
-18.18131125231608,-81.57910872776766
-16.52669000677286,-78.84138090378214
-10.287775619782138,-30.082566529776674
-17.206493088021908,-79.42509398718211
14.641877003223167,9.769478788577638
13.390887544003665,9.754041894958597
-16.84771405442641,-78.92211974236058
8.640633142042265,-24.735396861636076
-18.129191502085384,-79.11642669510357
-10.773782808865702,-82.65764179858816
-17.572758947664255,-79.15328466691216
8.755444698283739,4.855250077680139
-15.223156424221422,-9.403421147545
-40.44795740542065,1.7954524101219667
-27.194525521592553,-87.52319008743531
14.991398446860227,9.428420189964914
-17.15403906651391,-80.0407852019597
9.396658803782753,10.030696477792718
-33.149283261590135,-2.009914974291257
-10.819722158443263,-14.264183761388711
-17.33356923358983,-79.90630686817893
-14.208481136837282,-5.708407316683198
-44.05971635201897,-56.89274841631761
10.503181798835918,21.78268659053111
-10.264144506214635,-30.605917348817933
36.30851408016755,-31.25053474746393
-44.78418281625946,-5.579813201525948
-15.721148912487877,-79.73237626247155
-14.359451034949553,-23.211548770370463
-34.78431450687344,-4.9758002164575545
3.8875935514907587,5.156541460901169
-1.0584995563454742,-10.297862244943953
-32.73813974750542,-5.860417349655066
-34.87115563195368,-4.369085318629153
-10.948278209077047,-30.691042967759756
10.07499136389513,6.393668900502896
12.026273088738284,-71.99402593239927
-17.48449974134521,-71.59347780750795
-15.363410678149954,-78.98436297486076
-18.51314590222795,-81.16337270495248
21.04010283542428,14.78798341560855
-16.87562810858043,-80.44707969356573
-12.652091907941236,-28.59184850871019
32.00255614770575,-66.59546683536227
-17.14613150963156,-79.1816726315703
9.53201083351295,10.457526663119985
-1.653340383468073,-10.239208423644333
10.208967029623397,-79.58978814438294
14.100818700570589,9.93784794464376
10.765631158008775,21.177913957832104
-36.324317564431496,-74.16424694268785
-40.60751623053108,1.6061963044305356
-18.07328944002401,-79.48912263596758
-10.857016722014986,-29.793652267881804
10.175687902529631,19.41026351654612
8.206100136865103,5.615640729777878
-14.1238918636087,-9.205813413252127
53.028534602172776,-41.941379539119026
12.104965109609646,6.727739360714876
-44.52767034854068,-5.326457961372461
-18.72350594087955,7.154771160494393
-17.091982687038215,-80.5189069352494
-15.601394010133056,-79.55320995682439
-43.46393570411087,-4.657158923613025
27.799810160006796,-47.027911938520205
-19.638181790464767,-79.1327938112806
14.494501846452426,9.842782974309786
-9.872937496145212,-15.095686882936084
-16.783325671356902,-77.59746014833904
-44.76254864961611,-4.919780684510566
-16.892981154451213,-79.4837233889627
-17.391044200663178,-79.34044236593364
-17.799274869002918,-79.8395393609347
9.321885737963537,5.056969771654834
-40.524253683645874,-3.611559615164527
31.870394397135016,-41.714994277604056
-17.40543919740091,-79.41467064160626
-14.634525204869323,-8.921187528801465
-11.628846132412942,-80.14245621079479
-27.327477919853518,-87.7125128783987
10.816392422701123,21.4371208020053
-15.10200245041082,-79.95402068347634
-45.516379630938374,-4.46303764536159
14.066458170548287,8.837714743377996
-17.92919690678249,-71.88827716550263
9.012199158616887,-80.82992949852697
14.382168647759302,9.19136570217859
-38.48076853732913,-73.61708594205123
20.535230018131756,14.587213208504128
14.846844972526505,9.672906894182601
13.820599503324797,9.27849918966247
-17.40831497685845,-68.41617838531879
57.8117367828427,-43.55982300454013
-14.231580474927775,-9.29156068381516
32.40083396748802,-40.89116276316496
-17.382304818543002,-79.76288045588191
37.042627295281925,-31.457348966851413
-37.669898155713,3.979528701103497
-14.190644443332317,-9.886078542247454
-37.987235909494466,-74.7861177588347
12.650178075028442,-74.39418886178672
-32.18448831837379,-6.223654955781923
14.506825206063468,10.134048501735467
10.713448273438473,5.868948401794982
16.67777412949893,11.905898317937627
10.325990481862409,7.616972303208552
-24.582258353787502,-44.91302428971227
-18.671258071700702,-77.39815807874855
-39.62966576511926,-3.8960069229429646
-21.1073446839108,-78.60069440652511
-7.99157567088187,-12.27508348355143
13.276319745432852,9.35076149306914
-44.895257292488736,-5.459250251965382
12.955000741315896,12.824358012462149
-37.32455391595027,-74.92451811082569
13.754150594976547,9.50491092980572
10.49942427583935,6.2468933608132415
49.15949094994407,-40.08705324997564
-16.41070071003118,-79.02359491643949
30.368010797836366,-7.929541278139408
9.15321287413725,5.420534864216406
-38.63316050041291,-74.78861148747757
-14.774670681416818,-9.729700965457674
-18.38687659406662,-74.08320838832499
-1.4160159689081935,-28.089483462075144
14.496237299597551,10.057675067608793
-38.48477777586298,-75.13671115417442
-14.87531114736867,-9.307659700278116
-14.049736370154214,-10.061212151464805
12.195390459193653,-80.87366660305915
-43.515019862117896,-56.46611294663178
-10.844439396785289,17.861156342623197
-16.84130650936177,-79.4556861287745
-1.897387711907363,-20.631539081956696
10.442758025374747,5.908829155677269
-15.689604962460198,-10.136235668077738
-16.822339248060104,-81.37854114731908
-42.832942009945356,-5.578481711763181
-7.817086020458495,-69.26427063902376
-7.798653976418902,-11.148993641987463
-18.357605764676773,-77.50246283101986
