,x,y,z,SM,Metal,u_minus_r,g_minus_r
1741,0.0113413920626,1073596416.0,0.710456848145,2.19701099396,7.16509485245,40.2603111267,83.1113357544
1745,0.0118053639308,1584493184.0,0.711273193359,2.20812225342,85.00730896,47.6089515686,7.78641033173
1746,0.0167858824134,2942605824.0,0.738130569458,2.30800151825,83.4037017822,32.7506790161,8.7566947937
1749,0.0106191663072,1023575936.0,0.684581756592,2.12326622009,67.1531219482,31.0429363251,23.8612670898
1755,0.0159928239882,2520861696.0,0.731298446655,2.27829647064,87.7518539429,49.4313926697,4.60738658905
1758,0.0133228190243,1434742400.0,0.693675994873,2.16921234131,92.8874511719,57.2012863159,2.21361255646
1803,0.00798640958965,1645602432.0,0.688798904419,2.1430683136,88.107673645,50.0719337463,3.88431215286
1818,0.0130414208397,1249335680.0,0.444120407104,1.55891609192,59.2508049011,75.8635864258,32.0015487671
1820,0.0182261429727,4991938560.0,0.513912200928,1.55034065247,98.3837661743,44.8542747498,0.256781101227
1823,0.0220998972654,11834717184.0,0.785860061646,2.45139694214,72.8996810913,28.7362327576,26.9130477905
1836,0.0127455247566,2230640896.0,0.720083236694,2.2300863266,87.8862991333,50.0533103943,4.98259687424
1848,0.0131034972146,1139783296.0,0.430326461792,1.31677055359,1.19856619835,59.7595329285,90.6458969116
1850,0.0160635001957,1349748352.0,0.72917175293,2.27602481842,41.8215446472,30.0604515076,55.2570838928
1860,0.0170568358153,3527483136.0,0.372129440308,1.21073722839,90.3453598022,4.17262220383,13.4892110825
1869,0.0143606327474,1903701760.0,0.726099014282,2.27072143555,88.5607299805,50.5652427673,2.67340970039
1875,0.0153672611341,2343420928.0,0.69510269165,2.20501708984,92.6965332031,57.8760566711,2.27187657356
1884,0.0143958954141,1051903872.0,0.411861419678,1.36318016052,18.15691185,63.1898040771,70.3484649658
1890,0.0115715488791,1188816768.0,0.703340530396,2.20025730133,83.7656097412,46.1306228638,9.12524032593
1896,0.0176932066679,5794158080.0,0.745779037476,2.32891464233,72.5753707886,28.6546039581,26.7283210754
1901,0.0154405012727,2193805056.0,0.711452484131,2.21608924866,1.24509346485,42.939414978,96.1032409668
1902,0.0177339911461,1919989888.0,0.499059677124,1.53997612,43.8609352112,14.6411075592,51.4504890442
1912,0.0198190435767,4919001600.0,0.752819061279,2.36375617981,92.6304016113,57.5076370239,2.00463271141
1919,0.0137703372166,1181276800.0,0.647930145264,1.94420623779,82.7713241577,32.9015312195,9.24049949646
1932,0.0139354337007,1277972736.0,0.713359832764,2.23704433441,39.953540802,61.6501464844,45.3924713135
1938,0.0248666144907,9913490432.0,0.498645782471,1.52971076965,78.4883804321,90.7594985962,4.44413757324
1949,0.0132568692788,2794965760.0,0.710641860962,2.2218580246,66.7856521606,31.5539493561,23.9360904694
1961,0.0155322840437,1340800256.0,0.480581283569,1.52204322815,68.5328979492,74.7806396484,16.5684909821
1965,0.0155258858576,9818067968.0,0.763725280762,2.37239456177,72.6451568604,28.6522407532,26.6900863647
1974,0.0141031099483,3718050304.0,0.197206497192,0.869546890259,65.6160125732,74.0030593872,23.6917324066
1995,0.0235209465027,13111995392.0,0.792896270752,2.47253227234,88.0130310059,50.3315811157,4.4121799469
2003,0.0175289716572,4338691584.0,0.554672241211,1.8422870636,41.9913406372,30.9785499573,56.0735282898
2026,0.0123096723109,1058298752.0,0.711109161377,2.20531654358,72.9548950195,29.0039825439,26.5959644318
2030,0.0187480784953,5031245312.0,0.684717178345,2.13500976562,98.4797668457,3.80867600441,3.90078020096
2035,0.0148293655366,4830509056.0,0.44362449646,1.49473571777,47.8780632019,66.7171783447,46.9530754089
2036,0.0197992566973,14425569280.0,0.786951065063,2.45436477661,84.803024292,47.1513748169,8.01772117615
2041,0.0125541631132,1591066112.0,0.714149475098,2.20456981659,71.7213363647,29.1049938202,27.0056419373
2057,0.0115110613406,1333766272.0,0.319198608398,1.11761474609,84.2190933228,47.2025680542,8.29362106323
2075,0.0118221156299,1369903744.0,0.496765136719,1.43141937256,28.3913860321,78.7163009644,60.7882957458
2082,0.0134484134614,1088326912.0,0.32416343689,1.2043800354,6.28014993668,40.1483078003,86.2355957031
2089,0.0154570350423,1350287616.0,0.715690612793,2.24466228485,37.6334381104,88.2767868042,44.0444526672
2108,0.0201764572412,8458400768.0,0.528102874756,1.60669517517,37.6795578003,88.5033798218,43.644405365
2118,0.0188535898924,6154479616.0,0.696966171265,2.21195220947,42.7154884338,21.9775428772,52.793132782
2119,0.0185438450426,11860608000.0,0.476053237915,1.47239875793,14.6517953873,78.67993927,77.2972183228
2120,0.0145913362503,2179290880.0,0.206787109375,0.833641052246,64.5871505737,49.0547714233,28.922662735
2153,0.012736890465,1117983360.0,0.703201293945,2.20191287994,72.9169006348,28.2361660004,26.3663864136
2197,0.0146898971871,1170510976.0,0.533002853394,1.7370223999,44.201423645,99.6642303467,38.4979171753
2213,0.0162886455655,2919032064.0,0.41805267334,1.38882827759,41.9632720947,30.1851997375,55.4029083252
2215,0.0150083452463,3825141760.0,0.452249526978,1.41414260864,32.3097229004,37.3770484924,66.297744751
2223,0.0156188635156,6413054976.0,0.741514205933,2.3075504303,84.7617721558,46.7311325073,8.52805233002
2237,0.0197534933686,9179058176.0,0.753005981445,2.35901641846,87.9468154907,50.5813064575,3.94793581963
2244,0.0126744592562,1319894016.0,0.67995262146,2.16270828247,83.9664459229,46.2211799622,9.04296112061
2248,0.0136399278417,3597975552.0,0.717317581177,2.23837280273,85.1406707764,47.6777076721,8.30050754547
2250,0.0139692286029,1683681664.0,0.433532714844,1.34371757507,92.0531082153,52.5576400757,3.50851392746
2257,0.0128195593134,1043649088.0,0.709701538086,2.21764087677,84.716583252,46.0777206421,10.0648069382
2272,0.0197590459138,6242478592.0,0.748987197876,2.34403991699,37.7288284302,88.1192703247,44.007068634
2278,0.0154988598078,1720431104.0,0.725086212158,2.26473522186,37.5628509521,88.1700515747,44.0823783875
2283,0.0160289350897,1848867072.0,0.733131408691,2.28714370728,87.8114700317,49.8252182007,5.76110935211
2291,0.0107435164973,1459658624.0,0.665143966675,2.11786079407,72.7409362793,28.8584632874,28.5372486115
2293,0.0206066407263,6153616384.0,0.507406234741,1.52293968201,67.8785018921,72.224571228,19.993970871
2307,0.0119607876986,1621068032.0,0.694309234619,2.19255542755,88.4480133057,49.5370635986,3.68896484375
2317,0.022051718086,12166881280.0,0.780616760254,2.42929077148,87.7568969727,50.1439247131,4.62155485153
2319,0.0194257646799,6279789056.0,0.523986816406,1.6081905365,1.23560762405,59.3870620728,90.3897781372
2323,0.0237579960376,12136160256.0,0.787715911865,2.44980239868,28.5083122253,78.2902603149,59.6595191956
2333,0.0151068717241,3449350912.0,0.72654914856,2.2786026001,87.1026763916,50.2680969238,4.6174120903
2367,0.0142941754311,1455880832.0,0.550134658813,1.73092079163,50.3404197693,35.0713615417,41.5895462036
2371,0.0184562150389,10202417152.0,0.740570068359,2.32340049744,84.6164093018,46.9257316589,8.10766792297
2382,0.0124980807304,1885209216.0,0.405853271484,1.34349441528,75.7354049683,42.0600166321,14.3125705719
2390,0.0213904194534,10722197504.0,0.769868850708,2.38786315918,87.986618042,50.5625534058,4.6352186203
2397,0.0109096439555,1327394688.0,0.69158744812,2.16919517517,88.2447814941,51.2563247681,5.5286989212
2401,0.0135385766625,1501905664.0,0.717407226562,2.2363319397,88.8639831543,52.3764953613,4.48379945755
2405,0.0158020760864,1556296064.0,0.729251861572,2.27705955505,82.9629135132,37.599899292,8.12864494324
2412,0.0166358202696,1945631616.0,0.397432327271,1.24487686157,57.583026886,95.2496566772,28.2166080475
2416,0.0337568260729,34456723456.0,0.849510192871,2.66902732849,87.9441680908,50.6933479309,4.49027299881
2437,0.0183383375406,2270633984.0,0.509157180786,1.60931015015,19.6820793152,96.4173965454,60.9963722229
2439,0.0133247477934,1181831936.0,0.706783294678,2.2182302475,57.3768234253,85.7134857178,24.425195694
2450,0.0144778946415,2644599296.0,0.609083175659,1.88765716553,92.5555953979,58.749168396,3.68584656715
2467,0.0160508360714,1388530944.0,0.545431137085,1.66143989563,58.6440048218,87.1650695801,23.6618385315
2470,0.0209375731647,10126197760.0,0.434352874756,1.34898376465,40.7965736389,18.3546638489,54.4606819153
2473,0.0150711648166,1101393792.0,0.57908821106,1.72511291504,28.4379024506,38.0479125977,63.0378189087
2475,0.0141762215644,7919643136.0,0.0570583343506,0.495872497559,41.942237854,31.0411453247,55.8989982605
2481,0.0100683821365,1800763136.0,0.694351196289,2.16442584991,67.0545120239,31.3763618469,23.5752124786
2484,0.0162910819054,2342082048.0,0.592933654785,1.78168487549,37.650478363,88.9111022949,44.0047225952
2501,0.0156240100041,1204291712.0,0.535348892212,1.58527183533,63.8648376465,39.4412689209,35.6326522827
2512,0.0145993856713,3080415232.0,0.733068466187,2.27802562714,85.6165008545,49.4460983276,8.83053016663
2513,0.0145275276154,1510852096.0,0.426179885864,1.33574485779,54.1707382202,95.7265014648,30.5305271149
2522,0.0103362947702,1346716928.0,0.253494262695,0.987333297729,66.5605545044,31.8588657379,24.041765213
2529,0.0205765515566,6467370496.0,0.701076507568,2.24787330627,92.8632278442,57.1894187927,1.22333955765
2530,0.0175827499479,3353899008.0,0.377737045288,1.19254684448,46.710018158,95.6005325317,42.1564865112
2540,0.0148773407564,2305410304.0,0.424295425415,1.35631752014,90.7518615723,4.95373725891,12.006939888
2552,0.0181917212903,2853138432.0,0.535667419434,1.58083724976,74.5105819702,28.4933872223,25.3061561584
2556,0.0158554054797,4614972416.0,0.524293899536,1.70288848877,59.5880050659,83.3534164429,24.5077972412
2561,0.0143349487334,1578373888.0,0.721652984619,2.24657440186,7.57785558701,39.8254051208,82.9550018311
2575,0.0143962409347,1712930560.0,0.329217910767,1.15852355957,80.2176513672,72.4042739868,11.8888893127
2576,0.015156368725,1277615232.0,0.694429397583,2.20029258728,84.8099136353,47.6473884583,7.68297100067
2583,0.0127510428429,4940148736.0,0.217655181885,0.936511993408,15.3728351593,38.3110694885,81.724105835
2596,0.0149383181706,1479291648.0,0.709976196289,2.23493099213,89.0808410645,51.0747947693,5.49616146088
2637,0.0147944744676,2346619136.0,0.700483322144,2.20664405823,72.1598968506,28.4720458984,26.2481575012
2655,0.017673291266,6624588288.0,0.39898109436,1.29830741882,0.329089999199,56.8572120667,90.7365570068
2670,0.0130263697356,3360349184.0,0.26932144165,1.04220962524,76.4555511475,90.7100830078,7.20327949524
2682,0.0286520887166,32755222528.0,0.834217071533,2.62001228333,84.8642120361,47.3719863892,8.0996837616
2683,0.0145950159058,3795969792.0,0.717363357544,2.2529258728,88.5818862915,50.2826385498,4.42392158508
2718,0.0102462889627,1058998656.0,0.321069717407,1.14258766174,9.68229198456,73.2086715698,81.6524124146
2728,0.0300338398665,24287799296.0,0.791122436523,2.50071907043,7.11285495758,39.8731117249,83.0876541138
2729,0.0146157089621,2202849024.0,0.324491500854,1.12767791748,78.3173599243,90.493850708,4.55960798264
2745,0.0238211546093,8369985024.0,0.498626708984,1.51554489136,52.7333717346,63.7942085266,42.9148826599
2756,0.0205667503178,8571760640.0,0.402225494385,1.26106452942,89.9262161255,51.326713562,1.24435460567
2763,0.0222105123103,13063736320.0,0.786773681641,2.45022010803,88.0703048706,50.4615249634,4.06296300888
2773,0.019612506032,6548205056.0,0.546676635742,1.67088890076,87.2366027832,51.4154777527,4.90486955643
2774,0.016184091568,3178052096.0,0.312425613403,1.12486076355,58.0662727356,86.5025177002,23.8042793274
2783,0.0162474233657,2225616384.0,0.563594818115,1.76102828979,15.0299367905,38.3408164978,81.293258667
2801,0.0232926327735,18499518464.0,0.434518814087,1.32373428345,76.5530700684,90.7018814087,7.10425186157
2836,0.0186989549547,1896312064.0,0.499328613281,1.41369628906,68.8537445068,55.7493934631,25.7943973541
2841,0.0184155143797,10460682240.0,0.377838134766,1.23652648926,15.2800216675,38.2484588623,81.6120071411
2844,0.0125988693908,1562147712.0,0.703695297241,2.19246578217,58.8856048584,42.1356239319,38.7330131531
2855,0.0118213798851,1167433600.0,0.478569030762,1.47924041748,83.1957321167,36.4465332031,7.83821344376
2856,0.0149318957701,1857093888.0,0.715044021606,2.2345123291,73.0938491821,28.1384372711,26.5982246399
2861,0.010355817154,1106154880.0,0.699066162109,2.16173362732,54.0858383179,36.6483039856,35.3707695007
2868,0.0178642589599,4774699520.0,0.74560546875,2.3279094696,83.4102554321,32.965007782,8.9137544632
2878,0.0153777683154,1904675328.0,0.512647628784,1.58543014526,77.9026641846,43.1599502563,12.0883111954
2881,0.0124388039112,1738066816.0,0.413110733032,1.34533691406,23.2576541901,26.9897041321,77.0034484863
2902,0.0180681459606,5031778304.0,0.719743728638,2.26288986206,92.501914978,57.7955055237,2.105219841
2918,0.0125862173736,2332505600.0,0.375745773315,1.31886482239,28.1244220734,78.1671600342,59.2375526428
2921,0.0189499724656,9314008064.0,0.738552093506,2.3169631958,88.3091278076,50.792804718,4.46490335464
2923,0.0130088133737,1089709056.0,0.705587387085,2.20088863373,28.1885795593,77.9063796997,59.6201782227
2934,0.0228175856173,19592286208.0,0.759168624878,2.39971923828,7.10956048965,39.6609802246,83.0596313477
2935,0.0150755271316,1981297024.0,0.346652984619,1.17168998718,20.0931587219,97.1219787598,60.7062263489
2954,0.0125488145277,1300683136.0,0.606473922729,1.84972763062,77.48853302,42.7193832397,12.1556901932
2958,0.0190180018544,5013195776.0,0.747222900391,2.32545661926,82.4754333496,37.689704895,8.82607936859
3002,0.0119256777689,1036127296.0,0.515483856201,1.63603115082,42.4884376526,31.5501327515,56.5134544373
3022,0.0158393532038,1075607424.0,0.464105606079,1.36794281006,46.6564064026,31.1080360413,44.3494949341
3024,0.0160171985626,1810179712.0,0.681694030762,2.1719789505,38.0978279114,75.4705657959,46.0176010132
3061,0.0140078924596,3366051840.0,0.443807601929,1.45383834839,42.8880386353,21.139881134,52.5225944519
3063,0.0118386931717,1246262272.0,0.59824180603,1.82411384583,60.3814849854,41.2574996948,37.1975059509
3068,0.0151285780594,1751981440.0,0.574258804321,1.98435020447,84.9028549194,46.8457298279,8.44754695892
3074,0.0157394558191,2743294720.0,0.478708267212,1.47221946716,75.9513397217,81.7421875,10.0861139297
3115,0.0125845735893,1166687104.0,0.440397262573,1.42247390747,7.21355724335,40.1275138855,84.8435516357
3120,0.0139772836119,4368459264.0,0.300226211548,1.06879043579,73.1333618164,84.3792724609,8.40659141541
3128,0.01608915627,1663911936.0,0.664211273193,1.97647666931,59.4637985229,41.1947021484,36.8466072083
3130,0.0147319901735,1123199488.0,0.518821716309,1.84763908386,38.0616149902,88.527671814,44.0976409912
3140,0.0108073828742,1398389760.0,0.311946868896,1.20195960999,87.4330673218,47.1483268738,7.88472318649
3148,0.0110104493797,1088611584.0,0.690334320068,2.15638160706,72.2568283081,28.7435398102,25.7916717529
3163,0.0160549040884,8228757504.0,0.747793197632,2.33510017395,28.9295253754,94.5682525635,59.2147712708
3165,0.0157312750816,6068528640.0,0.715961456299,2.25994300842,71.6256484985,29.1110343933,28.0039596558
3167,0.0134860686958,1164254720.0,0.548473358154,1.77602481842,55.4444770813,80.2746276855,27.7377529144
3168,0.0207100305706,9975922688.0,0.739221572876,2.33619880676,72.3233413696,28.8349704742,26.6619586945
3169,0.0224600993097,16993392640.0,0.465179443359,1.41761016846,92.5926589966,57.4747886658,1.97092068195
3173,0.0157855246216,1370620160.0,0.445344924927,1.38161277771,58.0355567932,86.8982543945,23.6526737213
3181,0.0123875178397,4550676992.0,0.354124069214,1.22761154175,22.2064914703,77.1486358643,66.0693130493
3187,0.0166237354279,1060165824.0,0.608606338501,1.9333562851,76.5020523071,90.2723846436,6.77488327026
3190,0.0141980489716,2413958400.0,0.416416168213,1.33986663818,12.4224805832,38.9317855835,80.0890350342
3196,0.0147008290514,2831047168.0,0.480213165283,1.50321578979,42.1040802002,71.3405761719,45.9425430298
3198,0.0280562601984,31131570176.0,0.802278518677,2.51731300354,72.6210327148,28.8053398132,26.7507266998
3208,0.02805727534,23059789824.0,0.790996551514,2.48386955261,7.10415649414,39.9570922852,83.1232910156
3212,0.011803121306,1082224128.0,0.312767028809,1.16973114014,42.5175704956,18.981584549,53.5855979919
3230,0.0168915912509,5187896832.0,0.733499526978,2.29305648804,73.576965332,28.9035339355,27.1962127686
