,Metal,SM,g_minus_r,u_minus_r,x,y,z
8241,0.0155913904309,2237917696.0,0.36700630188,1.24863052368,3.84269285202,67.8474502563,27.2928695679
8243,0.017849272117,3913253120.0,0.620958328247,1.94869995117,25.4882144928,64.4364089966,19.8583965302
8254,0.0157918017358,3735161088.0,0.584051132202,1.81194877625,51.8862419128,17.2299842834,28.029592514
8306,0.0100209526718,3089718016.0,0.2399559021,1.0158405304,2.55233287811,53.5819168091,31.0031490326
8307,0.0172518715262,3232576768.0,0.574420928955,1.7725353241,65.7884216309,9.90904808044,25.6762924194
8331,0.0144808292389,2501601024.0,0.442586898804,1.38572502136,89.288848877,54.0275421143,4.20761060715
8334,0.0129065606743,3724218112.0,0.261108398438,1.00525856018,97.5769577026,46.1349182129,6.66786527634
8358,0.0152221713215,5105422848.0,0.314559936523,1.13886451721,65.5343475342,10.6979808807,25.1680355072
8360,0.0182363223284,4146233856.0,0.680484771729,2.1259727478,34.7241134644,5.16088294983,38.8878669739
8362,0.0164741687477,2003084288.0,0.442649841309,1.36704826355,2.62849569321,72.4675140381,25.08943367
8394,0.0155080864206,22565980160.0,0.746576309204,2.32245635986,84.3162307739,47.6525382996,7.85149049759
8404,0.015826953575,4140836608.0,0.321920394897,1.12231063843,87.1426544189,25.3861579895,9.90877723694
8452,0.017250655219,2841797120.0,0.421438217163,1.32258033752,0.206583037972,31.7082901001,40.4397392273
8459,0.0158242508769,6370100224.0,0.435516357422,1.3709602356,59.8099555969,30.7981357574,21.1005325317
8477,0.0180594604462,2064483584.0,0.610723495483,1.90396499634,40.6241264343,72.0656051636,10.5021362305
8487,0.0176774989814,4988197888.0,0.376373291016,1.20898628235,85.3955154419,46.7106742859,8.90312767029
8498,0.0143367545679,2913560832.0,0.379161834717,1.26472473145,49.1332359314,71.7174453735,10.2539768219
8510,0.0148632423952,4533182464.0,0.338228225708,1.24774742126,30.3745861053,79.3212890625,19.0863933563
8515,0.016716748476,3409222912.0,0.546993255615,1.65783309937,62.7573776245,65.1032867432,9.57287788391
8535,0.0172071214765,3411749632.0,0.481132507324,1.46155357361,58.1970825195,99.4651107788,2.45325565338
8556,0.0147838788107,1590510208.0,0.239669799805,0.977140426636,80.0569610596,23.6253700256,14.8223524094
8584,0.0186528991908,4953492480.0,0.458013534546,1.43614006042,51.1926040649,70.5425643921,12.7780685425
8592,0.0135032320395,1265899520.0,0.242864608765,0.961544036865,58.1783256531,19.0202331543,26.6854324341
8616,0.0154285533354,2485867776.0,0.381175994873,1.19671630859,32.5115966797,96.2654037476,7.41718006134
8631,0.0155376568437,3872791040.0,0.418884277344,1.34090042114,59.3036880493,18.8591880798,23.7565383911
8642,0.0186321958899,6338773504.0,0.434682846069,1.37128257751,89.5168228149,0.468997240067,18.4846897125
8655,0.0205863025039,14635758592.0,0.583196640015,1.7777557373,85.4555053711,46.8038444519,6.98513507843
8663,0.0170794706792,6714155008.0,0.325872421265,1.1483669281,83.8259048462,47.6740112305,8.18601894379
8667,0.0176778677851,3915341312.0,0.511651992798,1.61248397827,78.5016098022,57.725982666,9.50605487823
8678,0.0341720245779,1.2910440448e+11,0.8333568573,2.60918045044,84.9401321411,47.4338531494,8.09407424927
8696,0.0162731427699,4679665664.0,0.498823165894,1.49485588074,70.5924224854,57.843208313,4.8385014534
8722,0.0148256542161,4283609088.0,0.348255157471,1.18302154541,65.6765594482,4.5030412674,25.7828979492
8732,0.0155320642516,3492931328.0,0.507303237915,1.53740119934,5.57584810257,31.0693778992,38.6149368286
8737,0.0163500085473,3792828672.0,0.473794937134,1.48358154297,12.4190893173,50.0172653198,29.3901634216
8747,0.013771565631,2028672384.0,0.353939056396,1.26511001587,82.0944976807,24.0444087982,18.5586433411
8748,0.0153480097651,2743270400.0,0.665771484375,2.16347122192,38.7492866516,68.842048645,15.2222356796
8781,0.0153091847897,2476878592.0,0.371099472046,1.28343963623,91.9798278809,45.9385414124,6.13851118088
8791,0.0170787870884,3750182656.0,0.457004547119,1.37913131714,7.93656682968,70.9481048584,28.9799766541
8811,0.0137269943953,2751302144.0,0.340698242188,1.18714523315,97.6967010498,46.314907074,6.0490489006
8816,0.0210805293173,11198633984.0,0.607513427734,1.83621406555,83.9764556885,47.0317687988,6.7126750946
8830,0.0165479779243,5194519040.0,0.379421234131,1.24527168274,54.3808822632,24.6958675385,27.8907337189
8833,0.0146953267977,3669649920.0,0.394096374512,1.32640266418,3.30660319328,30.9367256165,41.5986442566
8851,0.0148323448375,3277050880.0,0.382169723511,1.27864456177,0.176295891404,9.46262836456,53.9158401489
8852,0.0146673955023,4069324800.0,0.391033172607,1.32519721985,74.0019760132,32.2456703186,19.2116832733
8854,0.0143243307248,1769410944.0,0.486404418945,1.53946685791,72.4352340698,7.86970567703,27.6416187286
8878,0.0149051714689,5161329152.0,0.288858413696,1.07125282288,3.77406096458,27.1145019531,47.5935173035
8887,0.0186590533704,27298023424.0,0.744218826294,2.3054485321,60.1643981934,27.6690807343,23.5894088745
8898,0.0137074599043,2657816320.0,0.395156860352,1.35562515259,91.2487411499,16.0892868042,16.737361908
8999,0.0146677196026,2037573120.0,0.388404846191,1.25681877136,58.3175010681,41.5208473206,21.6674175262
9002,0.014720746316,6951340544.0,0.305116653442,1.07620048523,62.2687606812,34.3763618469,19.2196769714
9021,0.017496202141,3707313920.0,0.488189697266,1.45304298401,66.1084289551,36.7073402405,14.6320619583
9039,0.0201339572668,4930775040.0,0.470136642456,1.41329956055,76.1728897095,52.5074691772,5.49413967133
9063,0.0157235730439,3107536128.0,0.53643989563,1.64356422424,89.8163604736,3.49695563316,18.7364387512
9071,0.0154586415738,4117834240.0,0.403856277466,1.38360023499,72.509185791,39.8852462769,16.4688930511
9079,0.0142144421116,2689149440.0,0.349853515625,1.18009376526,78.7757415771,52.9193878174,7.34355306625
9116,0.0132556948811,2784119296.0,0.346300125122,1.22861862183,80.4968032837,60.8877906799,5.9772644043
9120,0.0165499523282,3841998592.0,0.408283233643,1.35609054565,54.9183540344,27.1491928101,26.3103141785
9126,0.0191121287644,2693713408.0,0.516382217407,1.63328170776,35.5480690002,5.47543048859,39.5940818787
9128,0.0151700600982,3199534592.0,0.467365264893,1.45002365112,2.95363855362,25.5297813416,40.5370559692
9136,0.0145718781278,2390033152.0,0.479763031006,1.55023002625,46.3332977295,71.9968795776,10.3462095261
9146,0.0248885340989,16811587584.0,0.552165985107,1.64377212524,92.3590545654,58.8421325684,3.21461462975
9199,0.0163085050881,5637758976.0,0.457326889038,1.4551448822,58.7470359802,99.1932067871,2.15693116188
9215,0.0150033179671,3508743936.0,0.434865951538,1.40344429016,18.1907272339,73.8913192749,20.453453064
9233,0.0140868611634,4282305280.0,0.388582229614,1.29798698425,73.4923324585,23.8135719299,20.1830863953
9247,0.0152317415923,2396281088.0,0.383047103882,1.33473014832,15.0151939392,58.1064376831,32.4752998352
